@relation 'QueryResult-weka.filters.unsupervised.attribute.Remove-R1,8-weka.filters.unsupervised.attribute.Remove-R8'

@attribute dianyayusheding numeric
@attribute dianjiewendu numeric
@attribute fenzibi numeric
@attribute alfjialiaosheding numeric
@attribute lvshuiping numeric
@attribute dianjiezhishuiping numeric
@attribute dianliuxiaolv numeric

@data
4,947,2.54,15,250,180,0.902503
4.01,952,2.46,10,250,220,0.913406
4.025,957,2.6,14,265,210,0.912679
4.01,950,2.46,10,265,180,0.916968
4.01,949,2.54,20,250,210,0.886966
4.01,947,2.5,10,265,210,0.910465
4,949,2.54,25,240,210,0.879673
4,954,2.54,15,250,190,0.907987
4,954,2.7,20,240,220,0.878829
4,942,0,15,240,220,0.894225
4.01,941,2.52,15,230,180,0.895499
4,949,2.5,10,265,210,0.926778
4,947,2.62,25,260,190,0.889571
4.01,949,2.5,10,265,180,0.920534
4.01,952,2.52,15,245,200,0.904301
4.01,949,2.46,10,260,190,0.912864
4.01,951,2.24,10,280,190,0.922503
4,951,2.58,20,275,180,0.904663
4,945,0,15,240,220,0.890193
4,947,2.6,20,250,170,0.871735
4.002,955,2.6,14,270,220,0.918829
4.01,952,2.24,15,260,130,0.91358
4.01,953,2.62,20,250,200,0.88929
4,950,2.6,15,255,220,0.901009
3.995,953,2.5,20,240,210,0.876664
4,950,2.46,15,240,160,0.902748
4.01,952,2.54,15,260,190,0.920037
4.01,938,2.52,0,265,190,0.925662
4,949,2.56,15,250,180,0.898216
4,939,2.52,15,245,200,0.89358
4,944,2.58,10,265,200,0.925426
4,952,2.58,25,240,200,0.874811
4.01,952,2.5,15,245,200,0.897704
3.995,949,2.64,20,255,220,0.874351
4,952,2.54,25,235,150,0.881951
4,947,2.58,20,245,180,0.870204
4.03,954,2.44,8,265,210,0.915499
4.01,950,2.52,10,245,170,0.917884
4,948,2.56,15,270,200,0.896664
4,950,2.52,15,245,210,0.909869
4,951,2.56,25,250,200,0.887584
4,950,2.66,25,250,190,0.885662
4.005,946,2.48,15,260,190,0.905662
4.012,950,2.6,10,270,210,0.927057
4,946,2.62,25,245,190,0.889839
4,950,2.56,0,240,160,0.927584
4.01,947,2.46,10,270,200,0.911661
4.01,949,2.6,20,245,220,0.884486
4,940,2.48,20,260,180,0.903846
4,949,2.56,25,230,160,0.889431
