@relation 'QueryResult-weka.filters.unsupervised.attribute.Remove-R1-2,5-7,14-15-weka.filters.unsupervised.attribute.Remove-R8-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Remove-R9-weka.filters.unsupervised.attribute.Remove-R1'

@attribute gongzuoshidianya numeric
@attribute dianjiewendu numeric
@attribute fenzibi numeric
@attribute alfjialiaoshiji numeric
@attribute lvshuiping numeric
@attribute dianjiezhishuiping numeric
@attribute dianliuxiaolv numeric

@data
0.897638,0.590909,0.89781,0.076923,0.692308,0.4,0.785739
0.716535,0.909091,0.854015,0.25641,0.846154,0.5,0
0.594488,0.590909,0.927007,0.051282,0.615385,0.8,0.357215
0.625985,0.772727,0.905109,0.25641,0.538462,0.8,0.357215
0.594488,0.545455,0.766423,0,0.384615,0.6,0.357215
0.566929,0.5,0.927007,0.461538,0.307692,0.8,0.785739
0.641732,0.772727,0.817518,0.25641,0.615385,0,0.785739
0.787402,0.772727,0.912409,0.564103,0.384615,0.7,0.785739
0.653544,0.545455,0.941606,0.230769,0.769231,0.5,0.785739
0.590552,0.863636,0.956204,0.333333,0.461538,0.5,0.357215
0.681103,0.5,0.89781,0.128205,0.461538,0.6,0.357215
0.708662,0.454545,0.927007,0.25641,0.153846,0.5,0.785739
0.681103,0.909091,0.89781,0.512821,0.384615,0.5,0.785739
0.637795,0.590909,0.934307,0.051282,0.461538,0.5,0.785739
0.641732,0.863636,0.934307,0.333333,0.692308,0.7,0.357215
0.594488,0.545455,0.956204,0.384615,0.615385,0.6,0.357215
0.602363,0.636364,0.912409,0.384615,0.615385,0.6,0.785739
0.814961,0.636364,0.905109,0.051282,0.384615,0.7,0.785739
0.6063,0.363636,0.934307,0.384615,0.384615,0.5,0.785739
0.728347,0.545455,0.941606,0.051282,0.692308,0.2,0.785739
0.629922,0.409091,0.941606,0.153846,0.692308,0.7,0.357215
0.574804,0.590909,0.912409,0.128205,0.538462,0.3,0.785739
0.736221,0.727273,0,0.25641,0.615385,0.4,0.785739
0.570866,0.545455,0.963504,0.384615,0.384615,0.8,0.785739
0.547244,0.545455,0.934307,0.179487,0.153846,0.5,1
0.594488,0.863636,0.927007,0.282051,0.461538,0.6,0.428636
0.586614,0.818182,0.970803,0.589744,0.615385,0.7,0.357215
0.68504,0.772727,0.854015,0.230769,0.769231,0.7,0.214374
0.637795,0.136364,0.919708,0.076923,0.692308,0.6,0.785739
0.779528,0.636364,0.89781,0.076923,1,0.8,0.357215
0.822834,0.636364,0.941606,0.25641,0.769231,0.4,0.357215
0.633858,0.545455,0.89781,0.333333,0.307692,0.9,0.785739
0.708662,0.590909,0.905109,0.179487,0.461538,0.6,0.785739
0.637795,0.5,0.941606,0.25641,0.461538,0.7,0.785739
0.688976,0.909091,0.934307,0.794872,0.461538,0.5,0.357215
0.661417,0.727273,0.766423,0.128205,0.153846,0.5,0.142954
0.803151,0.590909,0.941606,0.076923,0.692308,0.1,0.785739
0.574804,0.727273,0.766423,0.384615,0.307692,0.7,0.357215
0.562993,0.636364,0.970803,0.512821,0.538462,0.7,0.357215
0.732284,0.681818,0.919708,0.179487,0.384615,0.4,0.357215
0.598425,0.636364,0.934307,0.333333,0.153846,0.3,0.785739
0.740157,0.363636,0.992701,0.512821,0.307692,0.9,0.785739
0.61811,0.590909,0.934307,0.333333,0.153846,0.5,0.785739
0.653544,0.727273,0.970803,0.846154,0.384615,0.6,0.357215
0.629922,0.772727,0.919708,0.384615,0.384615,0.7,0.357215
0.704725,0.954545,0.854015,0.282051,0.692308,0.7,0
0.673229,0.681818,0.905109,0.25641,0.615385,0.7,0.357215
0.622048,0.727273,0.89781,0.25641,0.307692,0.4,0.785739
0.614173,0.636364,0.963504,0.461538,0.538462,0.9,0.357215
0.677166,0.681818,0.905109,0.333333,0.692308,0.8,0.357215
0.740157,0.363636,0.992701,0.512821,0.307692,0.9,0.785739
0.720472,0.409091,0.919708,0.230769,0.615385,0.8,0.571478
0.598425,0.636364,0.89781,0.384615,0.153846,0.5,0.357215
0.582677,0.863636,0.89781,0.384615,0.307692,0.8,0.357215
0.657481,0.181818,0.89781,0.051282,0.692308,0.8,0.785739
0.602363,0.636364,0.927007,0.589744,0.461538,0.6,0.357215
0.590552,0.681818,0.927007,0.589744,0.230769,0.5,0.357215
0.83071,0.954545,0.941606,0.794872,0.307692,0.6,0.357215
0.578741,0.681818,0.970803,0.512821,0.461538,0.6,0.357215
0.637795,0.681818,0.927007,0.666667,0.538462,0.6,0.357215
0.61811,0.772727,0.89781,0.282051,0.461538,0.9,0.357215
0.582677,0.590909,0.941606,0.589744,0.538462,0.5,0.357215
0.795275,0.636364,0.89781,0.333333,0.461538,0.5,0.357215
