@relation 'QueryResult-weka.filters.unsupervised.attribute.Remove-R1,8-weka.filters.unsupervised.attribute.Remove-R8'

@attribute dianyayusheding numeric
@attribute dianjiewendu numeric
@attribute fenzibi numeric
@attribute alfjialiaosheding numeric
@attribute lvshuiping numeric
@attribute dianjiezhishuiping numeric
@attribute dianliuxiaolv numeric

@data
4,952,2.62,25,250,160,95.290001
4,953,2.62,25,245,200,95.290001
4,946,2.64,25,250,210,91.503998
4,946,2.62,25,245,190,95.290001
4,945,2.42,5,250,140,95.290001
4.002,945,2.62,5,240,200,91.503998
4,950,2.62,25,250,210,95.290001
4,939,2.52,15,245,200,95.290001
4,940,2.54,20,245,190,91.503998
4,945,2.42,10,235,180,95.290001
4,946,2.5,20,265,190,91.503998
4,946,2.54,20,240,220,89.611
4,952,2.7,20,240,210,89.611
4,945,0,15,240,220,95.290001
4,941,2.42,0,250,200,91.503998
4,948,2.48,20,250,230,91.503998
4,940,2.48,20,260,180,95.290001
4,949,2.54,25,240,210,95.290001
4,947,2.58,20,240,210,91.503998
4,956,2.64,25,260,190,89.611
4,947,2.56,15,230,180,95.290001
4.01,947,2.48,15,260,180,95.290001
4,949,2.5,20,245,210,95.290001
4,948,2.6,20,260,200,95.290001
4,948,2.5,20,250,200,91.503998
4,953,2.3,15,250,180,91.503998
4,942,0,15,240,220,91.503998
4,947,2.62,20,245,210,95.290001
4.01,949,2.54,20,250,210,95.290001
4,944,2.54,20,240,200,95.290001
4.005,946,2.48,15,260,190,91.503998
4,945,2.5,15,250,210,91.503998
4,941,2.52,20,250,190,95.290001
4,955,2.58,15,240,180,95.290001
4,947,2.58,20,245,180,91.503998
4,951,2.56,20,240,220,95.290001
4,947,2.6,20,250,170,95.290001
4,940,2.38,5,235,180,95.290001
4,947,2.64,25,230,210,91.503998
4,945,2.26,5,230,190,95.290001
4.01,943,2.48,15,250,210,91.503998
4,946,2.58,20,240,200,91.503998
4,947,2.64,25,245,210,91.503998
4,955,2.48,20,255,220,89.611
4,952,2.64,25,260,200,95.290001
4,952,2.52,20,250,180,95.290001
4,950,2.52,15,245,210,91.503998
4,948,2.56,20,280,180,91.503998
4,953,2.64,25,250,210,89.611
4,947,2.56,15,235,190,95.290001
