@relation 'QueryResult-weka.filters.unsupervised.attribute.Remove-R1,16-17-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0'

@attribute jialiaoliang numeric
@attribute jialiaocishu numeric
@attribute gongzuoshidianya numeric
@attribute zaosheng numeric
@attribute yangjixingchengri numeric
@attribute yangjixingchengdunlv numeric
@attribute dianjiewendu numeric
@attribute fenzibi numeric
@attribute alfjialiaoshiji numeric
@attribute lvshuiping numeric
@attribute dianjiezhishuiping numeric
@attribute fehanliang numeric
@attribute sihanliang numeric
@attribute shijichulvliang numeric

@data
0.480374,0.527426,0.171642,0.121212,0.90378,0.727273,0.459459,0.921986,0.804878,0.633333,0.78355,0.114667,0.333333,0.965517
0.558255,0.495781,0.243781,0.212121,0.876289,0.545455,0.405405,0.921986,0.439024,0.7,0.82684,0.106667,0.166667,0.965517
0.274143,0.28692,0.407961,0.151515,0.90378,0.772727,0.351351,0.900709,0.439024,0.766667,0.69697,0.077333,0.333333,1
0.51215,0.49789,0.134329,0.121212,0.907216,0.545455,0.567568,0.921986,0.756098,0.766667,0.69697,0.157333,0.166667,1
0.406231,0.411392,0.358208,0.151515,0.890034,0.5,0.405405,0.957447,0.756098,0.7,0.87013,0.112,0.5,1
0.493458,0.434599,0.181592,0.212121,0.883162,0.727273,0.486486,0.914894,0.439024,0.6,0.69697,0.12,0.166667,0.965517
0.637383,0.628692,0.211443,0.454545,0.896907,0.727273,0.459459,0.893617,0.317073,0.733333,0.87013,0.154667,0.333333,1
0.659813,0.670886,0.542289,0.121212,0.917526,0.5,0.486486,0.794326,0.317073,0.633333,0.5671,0.106667,0.166667,0.965517
0.586916,0.630802,0.554727,0.151515,0.893471,0.5,0.432432,0.900709,0.365854,0.666667,0.69697,0.069333,0.166667,0.965517
0.525234,0.523207,0.330846,0.484848,0.883162,0.454545,0.27027,0.914894,0.317073,0.833333,0.65368,0.176,0.333333,0.965517
0.664174,0.624473,0.420398,0.212121,0.924399,0.772727,0.351351,0.950355,0.634146,0.666667,0.78355,0.061333,0.166667,1
0.45109,0.394515,0.557214,0.424242,0.907216,0.772727,0.486486,0.921986,0.365854,0.666667,0.69697,0.042667,0.166667,0.965517
0.497819,0.438819,0.186567,0.121212,0.910653,0.454545,0.486486,0.943262,0.560976,0.7,0.61039,0.072,0.166667,1
0.614953,0.578059,0.393035,0.333333,0.900344,0.727273,0.405405,0.929078,0.634146,0.633333,0.78355,0.08,0.166667,0.965517
0.545171,0.483122,0.176617,0.212121,0.907216,0.590909,0.648649,0.921986,0.756098,0.633333,0.74026,0.096,0.166667,0.965517
0.258567,0.272152,0.159204,0.151515,0.890034,0.681818,0.351351,0.879433,0.317073,0.833333,0.74026,0.136,0.333333,1
0.476012,0.447257,0.271144,0.515152,0.910653,0.681818,0.459459,0.914894,0.365854,0.8,0.69697,0.098667,0.166667,0.965517
0.65109,0.64135,0.410448,0.363636,0.879725,0.727273,0.432432,0.929078,0.365854,0.766667,0.74026,0.08,0.166667,0.965517
0.702181,0.660338,0.266169,0.545455,0.907216,0.772727,0.405405,0.893617,0.170732,0.666667,0.82684,0.058667,0.166667,0.965517
0.543302,0.540084,0.017413,0.151515,0.883162,0.727273,0.405405,0.879433,0.170732,0.633333,0.78355,0.208,0.166667,1
0.333956,0.236287,0.395523,0.212121,0.910653,0.772727,0.297297,0.93617,0.439024,0.6,0.78355,0.106667,0.333333,1
0.121495,0.113924,0.340795,0.212121,0.883162,0.772727,0.27027,0.914894,0.317073,0.633333,0.74026,0.064,0.166667,0.965517
0.51028,0.491561,0.084577,0.151515,0.893471,0.727273,0.351351,0.900709,0.317073,0.633333,0.74026,0.2,0.166667,1
0.626168,0.588608,0.335821,0.272727,0.883162,0.681818,0.405405,0.921986,0.439024,0.733333,0.74026,0.056,0.166667,0.965517
0.535202,0.514768,0.475125,0.333333,0.910653,0.5,0.27027,0.964539,0.634146,0.633333,0.74026,0.056,0.166667,0.965517
0.659813,0.649789,0.30597,0.424242,0.886598,0.727273,0.486486,0.914894,0.682927,0.766667,0.52381,0.088,0.166667,1
0.598131,0.567511,0.159204,0.272727,0.927835,0.818182,0.378378,0.879433,0.243902,0.3,0.74026,0.194667,0.166667,1
0.520872,0.561181,0.221393,0.393939,0.934708,0.409091,0.297297,0.907801,0.365854,0.5,0.65368,0.053333,0.166667,1
0.511526,0.527426,0.457712,0.333333,0.914089,0.681818,0.432432,0.957447,0.487805,0.2,0.87013,0.125333,0.166667,1
0.677259,0.588608,0.365672,0.212121,0.900344,0.727273,0.351351,0.914894,0.365854,0.533333,0.61039,0.061333,0.166667,1
0.674143,0.71519,0.606965,0.393939,0.896907,0.454545,0.405405,0.971631,0.317073,0.133333,0.61039,0.026667,0.166667,1
0.578816,0.635021,0.248756,0.151515,0.907216,0.772727,0.324324,0.914894,0.439024,0.366667,0.69697,0.157333,0.166667,1
0.585047,0.504219,0.407961,0.272727,0.886598,0.772727,0.486486,0.929078,0.756098,0.433333,0.61039,0.149333,0.166667,1
0.568847,0.588608,0.445274,0.575758,0.900344,0.590909,0.297297,0.950355,0.317073,0.466667,0.78355,0.256,0.333333,1
0.419938,0.373418,0.179104,0.424242,0.90378,0.818182,0.432432,0.900709,0.439024,0.266667,0.61039,0.096,0.166667,1
0.517134,0.613924,0.624378,0.333333,0.927835,0.681818,0.378378,0.851064,0.243902,0.533333,0.78355,0.085333,0.166667,1
0.503427,0.457806,0.236318,0.424242,0.914089,0.5,0.486486,0.87234,0.365854,0.833333,0.74026,0.208,0.333333,1
0.424299,0.443038,0.199005,0.060606,0.90378,0.681818,0.432432,0.900709,0.439024,0.766667,0.74026,0.098667,0.166667,1
