@relation 'QueryResult-weka.filters.unsupervised.attribute.Remove-R1,8-weka.filters.unsupervised.attribute.Remove-R8'

@attribute dianyayusheding numeric
@attribute dianjiewendu numeric
@attribute fenzibi numeric
@attribute alfjialiaosheding numeric
@attribute lvshuiping numeric
@attribute dianjiezhishuiping numeric
@attribute dianliuxiaolv numeric

@data
4.01,951,2.48,10,260,180,0.924619
4.01,949,2.48,10,245,180,0.914811
4,946,2.58,0,265,210,0.922748
4.025,956,2.6,14,270,200,0.921009
4.025,955,2.34,12,280,170,0.921951
4.025,956,2.34,10,280,200,0.916664
4.01,949,2.52,10,260,200,0.917704
4.01,950,2.56,10,255,150,0.929697
4.01,938,2.46,10,265,230,0.927584
4.03,954,2.44,8,265,210,0.928825
4.01,944,2.48,10,270,190,0.915499
4.01,947,2.5,10,265,210,0.912578
4,954,2.56,15,265,200,0.909571
4.01,947,2.5,10,265,190,0.920935
4.01,951,2.24,10,280,190,0.92929
4.007,955,2.6,14,270,220,0.91209
4.01,951,2.46,15,265,210,0.922503
4.01,949,2.5,10,255,190,0.918216
4,950,2.5,10,265,210,0.925526
4.015,949,2.6,10,270,200,0.929814
4.01,950,2.56,10,260,200,0.919745
4.01,957,2.5,15,260,190,0.924925
4,949,2.5,10,265,210,0.924663
4.01,949,2.5,10,265,180,0.926346
4.025,957,2.58,12,265,130,0.926778
4.025,957,2.6,14,265,210,0.920534
4.01,947,2.46,10,270,200,0.927987
4.01,947,2.52,15,270,170,0.912679
4.01,949,2.52,15,270,180,0.911661
4.01,949,2.46,10,260,190,0.929571
4.01,948,2.56,10,260,200,0.924447
4.01,950,2.46,15,265,200,0.924301
4.01,950,2.46,10,265,180,0.912864
4.01,948,2.46,10,265,170,0.919259
4.01,952,2.48,15,255,210,0.91143
4,947,2.1,0,245,190,0.916968
4.01,946,2.46,10,250,190,0.916775
4.01,948,2.56,10,250,180,0.927187
4.01,949,2.48,10,245,200,0.929431
4.01,951,0,15,260,170,0.927315
4.027,952,2.34,10,270,200,0.922252
4.01,938,2.52,0,265,190,0.91358
4.01,949,2.46,0,285,210,0.914351
4.01,948,2.48,10,250,190,0.92709
4.01,950,2.52,10,245,170,0.910193
4.025,956,2.34,12,265,200,0.923846
4.01,950,2.48,10,260,200,0.925426
4.01,950,2.48,10,265,210,0.924254
4.01,939,2.46,10,265,210,0.914225
4.01,952,2.46,10,250,220,0.925662

